NA,latitude,longitude,pH,pH_,OM,P,K,Mg_mg/kg,NO3,NH4,SO4-S,N_total,Ca,Mg,K,Na,H,CEC,Ca2+,Mg2+,K,Na,H+,Mn,Cu,Zn,Fe,B,ID
0,47.62228,8.93496,7,6.6,3.16,66.2,164.7,376.3,17.4,0.5,6.6,17.9,10.8,2.3,0.5,0.0326,2.7,16.3,66.1,14.2,2.8,0.2,16.7,473.2,12.5,7.5,328.7,4.2,1
1,47.62273,8.93383,7.5,6.9,2.47,177.1,348.1,544.4,16.5,0.7,4.9,17.2,12.1,2.9,1.2,0.0364,2,18.2,66.5,15.9,6.6,0.2,10.8,601.7,16.5,14.2,339.2,5,2
2,47.62199,8.93286,7,6.4,2.38,75.7,208.7,213.5,36.8,0.5,6.5,37.3,9.9,1.7,0.8,0.0486,3.8,16.2,60.7,10.3,5.1,0.3,23.6,531.9,10.4,9.9,274.2,3.9,3
3,47.62156,8.93321,7.6,7.1,2.85,81,291.4,590.8,21.6,0.2,10.3,21.8,11,1.2,0.7,0.0264,0.3,13.2,82.7,9.2,5.3,0.2,2.6,235.1,7.6,9.1,372.8,4.6,4
4,47.62114,8.93197,7.7,7.1,2.19,105.3,255.9,414,31.3,0.2,28.6,31.5,13.1,1.8,0.8,0.0346,1.6,17.3,75.5,10.4,4.8,0.2,9.1,557.5,10.3,8,264.3,5.2,5
5,47.62137,8.93134,7.3,6.7,2.38,86,209.9,232.3,42.5,0.2,6.6,42.7,9.6,1.8,0.9,0.0302,2.8,15.1,63.5,12,5.6,0.2,18.7,397,8.2,8.5,241.3,3.1,6
6,47.62222,8.93135,7.6,7,4.71,90.2,193.8,272.1,53.1,0.3,10.6,53.4,24,1.8,0.5,0.0598,3.5,29.9,80.2,6.1,1.8,0.2,11.6,543.2,13.8,7.5,226.1,6.6,7
7,47.62205,8.93073,7.7,7.1,3.16,54.5,184,421.5,30.8,0.2,5.5,31,16.6,2,0.6,0.0424,2,21.2,78.4,9.2,2.6,0.2,9.5,317.9,8.9,6.4,277.4,4.7,8
8,47.61577,8.92239,7.5,6.9,3.33,152.3,334.1,519.3,26.2,0.7,11.9,26.9,13.8,3.5,1.2,0.0422,2.6,21.1,65.3,16.4,5.6,0.2,12.5,614,11.3,13.5,321.1,5.1,9
9,47.61511,8.92164,7.6,7.1,4.07,116.8,510,738.1,64.5,1,20.2,65.5,17.9,2.2,1.6,0.0476,2.1,23.8,75.2,9.3,6.5,0.2,8.8,421.9,11.9,12,334,5.7,10
10,47.61508,8.920805,7.6,7,3.61,120.1,433.1,663.1,40.3,0.2,15.4,40.5,17,2.3,1.4,0.045,1.7,22.5,75.9,10.1,6.2,0.2,7.5,467,10.6,12.1,273.1,4.9,11
11,47.6146,8.92172,7.6,7.1,3.86,142.9,537.7,416.9,60.2,0,20.7,60.2,17,1.4,1.7,0.0648,1.4,21.6,78.9,6.6,7.7,0.3,6.5,319.3,9.4,12.1,437,5.6,12
12,47.61406,8.92112,7.6,7.1,5.38,74.3,362.5,534.5,35.5,0,13.5,35.5,24.1,2.3,0.9,0.0598,2.5,29.9,80.8,7.6,3.2,0.2,8.2,261.6,11.4,11.8,196.6,5.4,13
13,47.61374,8.922506,7.7,7.1,5,182.5,215.9,592.1,14.6,0.5,2.5,15.1,25.1,3.2,0.5,0.032,3.2,32,78.2,10,1.7,0.1,10,608.8,14.7,11.4,439.2,7,14
14,47.61431,8.9235,7.7,7.1,3.24,67.2,201.8,459.5,14.5,0,6.8,14.5,17.3,1.5,0.5,0.0209,1.6,20.9,82.5,7.2,2.3,0.1,7.8,399,7.6,7.1,326.9,5,15
15,47.61422,8.9244,7.6,6.9,3.67,156.7,178.4,448,12,0.3,4.2,12.3,19.4,3,0.5,0.0263,3.4,26.3,73.5,11.5,1.9,0.1,12.9,497.6,10.5,8.4,393,5.6,16
16,47.61536,8.924885,7.1,6.5,1.98,99.6,76.6,133.3,5.9,0.7,3.8,6.6,9.1,1,0.3,0.0272,3.2,13.6,66.9,7.4,2.1,0.2,23.4,276.1,7.1,6.8,316.8,2.7,17
17,47.61536,8.92389,7.5,6.9,2.78,121.1,183.9,317,9.8,0.5,3.3,10.3,13,2.2,0.6,0.0178,2,17.8,72.5,12.5,3.4,0.1,11.4,666.3,10.6,12.1,322.1,4.5,18
18,47.61485,8.92354,7.8,7.2,2.31,50.2,226.3,403.6,10.3,0.2,3.2,10.5,12.6,1.2,0.6,0.0144,0,14.4,87.8,8.1,4,0.1,0,316.4,6.8,6.9,450.7,4.7,19
